;Druckmessgerät;Durchflussmesser;3/2-Wege-Magnetventil, in Ruhestellung gesperrt;3/2-Wege-Magnetventil, in Ruhestellung gesperrt;3/2-Wege-Magnetventil, in Ruhestellung gesperrt;3/2-Wege-Magnetventil, in Ruhestellung gesperrt;Zylinder, doppeltwirkend;Zylinder, doppeltwirkend
;PSensorIdeal;QSensorIdeal;V1;V2;V4;V3;ADN_VI_1;ADN_VI2
0;19,38;0;6,46;6,46;6,46;6,46;0;0
0,1;19,38;0;6,46;6,46;6,46;6,46;0;0
0,2;19,38;0;6,46;6,46;6,46;6,46;0;0
0,3;19,38;0;6,46;6,46;6,46;6,46;0;0
0,4;19,38;0;6,46;6,46;6,46;6,46;0;0
0,5;19,3412723;547,1315734;3,23;3,23;3,23;3,23;0,0797487;0,1276819
0,6;18,8006349;745,7093571;3,23;3,23;3,23;3,23;200,5849057;105,9166096
0,7;18,2599975;344,5123814;3,23;3,23;3,23;3,23;274,7454473;111,5630372
0,8;19,0060306;89,0361774;3,23;3,23;3,23;3,23;284,2170024;116,5012227
0,9;19,3722157;13,6814079;3,23;3,23;3,23;3,23;287,5330819;120,233197
1;19,3764793;3,5139816;3,23;3,23;3,23;3,23;290,7;123,6144902
1,1;19,3779974;0,3222571;3,23;3,23;3,23;3,23;290,7;126,6443594
1,2;19,3782558;0,1143743;3,23;3,23;3,23;3,23;290,7;127,9458556
1,3;19,3784496;0,037145;3,23;3,23;3,23;3,23;290,7;129,2
1,4;19,3785788;0,0119187;3,23;3,23;3,23;3,23;290,7;129,2
1,5;19,378708;0,0108851;3,23;3,23;3,23;3,23;290,7;129,2
1,6;19,3788049;0,0099161;3,23;3,23;3,23;3,23;290,7;129,2
1,7;19,3789341;0,0090763;3,23;3,23;3,23;3,23;290,7;129,2
1,8;19,3789987;0,0082688;3,23;3,23;3,23;3,23;290,7;129,2
1,9;19,3790956;0,0075582;3,23;3,23;3,23;3,23;290,7;129,2
2;19,3791925;0,0069122;3,23;3,23;3,23;3,23;290,7;129,2
2,1;19,3792571;0,0062985;3,23;3,23;3,23;3,23;290,7;129,2
2,2;19,3793217;0,0057494;3,23;3,23;3,23;3,23;290,7;129,2
2,3;19,3531264;57,1891203;6,46;3,23;3,23;6,46;290,7;102,225301
2,4;19,3306133;64,2964123;6,46;3,23;3,23;6,46;274,2328463;16,4974188
2,5;19,2629125;120,6518373;6,46;3,23;3,23;6,46;220,3610652;7,5987365
2,6;19,2650443;119,0039882;6,46;3,23;3,23;6,46;165,1736405;2,0708499
2,7;19,2668208;118,1347952;6,46;3,23;3,23;6,46;108,9139204;0,0105621
2,8;19,2674022;118,13402;6,46;3,23;3,23;6,46;55,4710187;0
2,9;19,3626872;37,9365761;6,46;3,23;3,23;6,46;24,0283253;0
3;19,3733139;13,1090842;6,46;3,23;3,23;6,46;15,2966663;0
3,1;19,374509;10,7999572;6,46;3,23;3,23;6,46;10,0700741;0
3,2;19,375155;9,2026253;6,46;3,23;3,23;6,46;5,3752691;0
3,3;19,3756072;8,1995165;6,46;3,23;3,23;6,46;1,2026582;0
3,4;19,3791602;2,7753775;6,46;3,23;3,23;6,46;0,5437705;0
3,5;19,3792248;0,0035207;6,46;3,23;3,23;6,46;0,0028747;0
3,6;19,3792894;0,0031977;6,46;3,23;3,23;6,46;0;0
3,7;19,379354;0,0029393;6,46;3,23;3,23;6,46;0;0
3,8;19,3794186;0,0026809;6,46;3,23;3,23;6,46;0;0
3,9;19,3794832;0,0024548;6,46;3,23;3,23;6,46;0;0
4;19,3795155;0,0022287;6,46;3,23;3,23;6,46;0;0
4,1;19,3795478;0,0020349;6,46;3,23;3,23;6,46;0;0
4,2;19,3795801;0,0018411;6,46;3,23;3,23;6,46;0;0
4,3;19,3796447;0,0016796;6,46;3,23;3,23;6,46;0;0
4,4;19,379677;0,0015504;6,46;3,23;3,23;6,46;0;0
4,5;19,379677;0,0005168;6,46;6,46;3,23;6,46;0;0
4,6;19,3797093;0,0004845;6,46;6,46;3,23;6,46;0;0
4,7;19,3797416;0,0004199;6,46;6,46;3,23;6,46;0;0
4,8;19,3797739;0,0003876;6,46;6,46;3,23;6,46;0;0
4,9;19,3797739;0,0003553;6,46;6,46;3,23;6,46;0;0
5;19,3798062;0,000323;6,46;6,46;3,23;6,46;0;0
5,1;19,3798062;0,0002907;6,46;6,46;3,23;6,46;0;0
5,2;19,3798385;0,0002907;6,46;6,46;3,23;6,46;0;0
5,3;19,3798385;0,0002584;6,46;6,46;3,23;6,46;0;0
5,4;19,3798708;0,0002261;6,46;6,46;3,23;6,46;0;0
5,5;19,3798708;0,0002261;6,46;6,46;3,23;6,46;0;0
5,6;19,3799031;0,0001938;6,46;6,46;3,23;6,46;0;0
5,7;19,3799031;0,0001615;6,46;6,46;3,23;6,46;0;0
5,8;19,3799031;0,0001615;6,46;6,46;3,23;6,46;0;0
5,9;19,3799031;0,0001615;6,46;6,46;3,23;6,46;0;0
6;19,3799354;0,0001292;6,46;6,46;3,23;6,46;0;0
6,1;19,3799354;0,0001292;6,46;6,46;3,23;6,46;0;0
6,2;19,3799354;0,0000969;6,46;6,46;3,23;6,46;0;0
6,3;19,3799354;0,0000969;6,46;6,46;3,23;6,46;0;0
6,4;19,3799354;0,0000969;6,46;6,46;3,23;6,46;0;0
6,5;10,3884875;892,9311421;3,23;3,23;6,46;6,46;47,1349378;0
6,6;14,934551;626,1607586;3,23;3,23;6,46;6,46;162,3040116;0
6,7;18,1002417;325,5821266;3,23;3,23;6,46;6,46;277,4731177;0
6,8;19,3681136;19,7700871;3,23;3,23;6,46;6,46;285,2775729;0
6,9;19,3777067;6,5832245;3,23;3,23;6,46;6,46;289,4732137;0
7;19,3781266;0,0147611;3,23;3,23;6,46;6,46;289,8828746;0
7,1;19,3782881;0,0134691;3,23;3,23;6,46;6,46;290,2925355;0
7,2;19,3784496;0,0123063;3,23;3,23;6,46;6,46;290,7;0
7,3;19,3785788;0,0112404;3,23;3,23;6,46;6,46;290,7;0
7,4;19,378708;0,0102714;3,23;3,23;6,46;6,46;290,7;0
7,5;19,3788049;0,009367;3,23;3,23;6,46;6,46;290,7;0
7,6;19,3789018;0,0085595;3,23;3,23;6,46;6,46;290,7;0
7,7;19,3789987;0,0078166;3,23;3,23;6,46;6,46;290,7;0
7,8;19,3790956;0,0071383;3,23;3,23;6,46;6,46;290,7;0
7,9;19,3791602;0,0065246;3,23;3,23;6,46;6,46;290,7;0
8;19,3792571;0,0059432;3,23;3,23;6,46;6,46;290,7;0
8,1;19,3793217;0,0054264;3,23;3,23;6,46;6,46;290,7;0
8,2;19,3793863;0,0049742;3,23;3,23;6,46;6,46;290,7;0
8,3;19,3794186;0,004522;3,23;3,23;6,46;6,46;290,7;0
8,4;19,3794832;0,0041344;3,23;3,23;6,46;6,46;290,7;0
8,5;19,3795155;0,0037791;3,23;3,23;6,46;6,46;290,7;0
8,6;19,3795801;0,0034561;3,23;3,23;6,46;6,46;290,7;0
8,7;19,3790633;1,0460355;6,46;3,23;3,23;3,23;290,7;105,626491
8,8;19,3310655;76,6460266;6,46;3,23;3,23;3,23;262,8088208;111,8723743
8,9;19,2671115;116,7005783;6,46;3,23;3,23;3,23;212,016554;116,9317817
9;19,2670469;118,5087323;6,46;3,23;3,23;3,23;161,2242872;120,8651465
9,1;19,2670146;118,4633831;6,46;3,23;3,23;3,23;104,9658914;124,0131691
9,2;19,26695;118,4307278;6,46;3,23;3,23;3,23;58,3511128;126,331114
9,3;19,36708;27,8658883;6,46;3,23;3,23;3,23;22,1964308;127,7665583
9,4;19,3735077;12,8599543;6,46;3,23;3,23;3,23;15,335717;129,2
9,5;19,3746382;10,6588708;6,46;3,23;3,23;3,23;9,672558;129,2
9,6;19,3752842;9,1233934;6,46;3,23;3,23;3,23;4,9655113;129,2
9,7;19,3757041;8,1491931;6,46;3,23;3,23;3,23;0,9723915;129,2
9,8;19,3792248;2,7637172;6,46;3,23;3,23;3,23;0;129,2
9,9;19,3792894;0,0033269;6,46;3,23;3,23;3,23;0;129,2
10;19,379354;0,0030362;6,46;3,23;3,23;3,23;0;129,2
10,1;19,3794186;0,0027778;6,46;3,23;3,23;3,23;0;129,2
10,2;19,3794832;0,0025194;6,46;3,23;3,23;3,23;0;129,2
10,3;19,3795155;0,0022933;6,46;3,23;3,23;3,23;0;129,2
10,4;19,3795478;0,0020995;6,46;3,23;3,23;3,23;0;129,2
10,5;19,3796124;0,001938;6,46;3,23;3,23;3,23;0;129,2
10,6;19,3623319;38,8946587;6,46;6,46;3,23;6,46;0;87,5369729
10,7;19,378062;3,6458948;6,46;6,46;3,23;6,46;0;35,1627167
10,8;19,3786111;2,5684637;6,46;6,46;3,23;6,46;0;6,7450152
10,9;19,3796447;1,4843788;6,46;6,46;3,23;6,46;0;3,3690192
11;19,379677;0,0122094;6,46;6,46;3,23;6,46;0;0
11,1;19,3797093;0,0004845;6,46;6,46;3,23;6,46;0;0
11,2;19,3797416;0,0004522;6,46;6,46;3,23;6,46;0;0
11,3;19,3797739;0,0003876;6,46;6,46;3,23;6,46;0;0
11,4;19,3797739;0,0003553;6,46;6,46;3,23;6,46;0;0
11,5;19,3798062;0,000323;6,46;6,46;3,23;6,46;0;0
11,6;19,3798062;0,0002907;6,46;6,46;3,23;6,46;0;0
11,7;19,3798385;0,0002907;6,46;6,46;3,23;6,46;0;0
11,8;19,3798385;0,0002584;6,46;6,46;3,23;6,46;0;0
11,9;19,3798708;0,0002261;6,46;6,46;3,23;6,46;0;0
12;19,3798708;0,0002261;6,46;6,46;3,23;6,46;0;0
12,1;19,3798708;0,0001938;6,46;6,46;3,23;6,46;0;0
12,2;19,3799031;0,0001615;6,46;6,46;3,23;6,46;0;0
12,3;19,3799031;0,0001615;6,46;6,46;3,23;6,46;0;0
12,4;19,3799031;0,0001615;6,46;6,46;3,23;6,46;0;0
12,5;19,3799354;0,0001292;6,46;6,46;3,23;6,46;0;0
12,6;19,3799354;0,0001292;6,46;6,46;3,23;6,46;0;0
12,7;19,3799354;0,0000969;6,46;6,46;3,23;6,46;0;0
12,8;19,3799354;0,0000969;6,46;6,46;3,23;6,46;0;0
12,9;13,0093741;201,078805;3,23;3,23;3,23;6,46;143,7819642;0
13;17,0997492;509,454334;3,23;3,23;3,23;6,46;270,6396328;0
13,1;18,6306723;185,6166981;3,23;3,23;3,23;6,46;281,5935318;0
13,2;19,3704069;13,3119282;3,23;3,23;3,23;6,46;288,5553123;0
13,3;19,3777713;0,0737732;3,23;3,23;3,23;6,46;290,7;0
13,4;19,3781589;0,0150518;3,23;3,23;3,23;6,46;290,7;0
13,5;19,3783204;0,0137598;3,23;3,23;3,23;6,46;290,7;0
13,6;19,3784819;0,0125647;3,23;3,23;3,23;6,46;290,7;0
13,7;19,3786111;0,0114665;3,23;3,23;3,23;6,46;290,7;0
13,8;19,378708;0,0104652;3,23;3,23;3,23;6,46;290,7;0
13,9;19,3788372;0,0095608;3,23;3,23;3,23;6,46;290,7;0
14;19,3789341;0,008721;3,23;3,23;3,23;6,46;290,7;0
14,1;19,379031;0,0079781;3,23;3,23;3,23;6,46;290,7;0
14,2;19,3791279;0,0072675;3,23;3,23;3,23;6,46;290,7;0
14,3;19,3791925;0,0066538;3,23;3,23;3,23;6,46;290,7;0
14,4;19,3792571;0,0060724;3,23;3,23;3,23;6,46;290,7;0
14,5;19,3793217;0,0055233;3,23;3,23;3,23;6,46;290,7;0
14,6;19,3793863;0,0050388;3,23;3,23;3,23;6,46;290,7;0
14,7;19,3794509;0,0046189;3,23;3,23;3,23;6,46;290,7;0
14,8;19,3794832;0,004199;3,23;3,23;3,23;6,46;290,7;0
14,9;19,3752519;10,1177489;6,46;3,23;6,46;6,46;290,5617883;0
15;19,3044503;81,9820189;6,46;3,23;6,46;6,46;257,583779;0
15,1;19,2680805;118,0278176;6,46;3,23;6,46;6,46;201,8234169;0
15,2;19,2677252;118,135635;6,46;3,23;6,46;6,46;145,730171;0
15,3;19,267596;118,1351828;6,46;3,23;6,46;6,46;89,4701602;0
15,4;19,2674991;118,1343107;6,46;3,23;6,46;6,46;45,8910648;0
15,5;19,3372671;49,1774606;6,46;3,23;6,46;6,46;20,4427346;0
15,6;19,3739599;12,3417977;6,46;3,23;6,46;6,46;13,2767535;0
15,7;19,3748643;9,9333482;6,46;3,23;6,46;6,46;8,3712233;0
15,8;19,3754134;8,8502969;6,46;3,23;6,46;6,46;4,7026539;0
15,9;19,378062;5,6416472;6,46;3,23;6,46;6,46;2,3509555;0
16;19,3790633;0,0571387;6,46;3,23;6,46;6,46;0;0
16,1;19,3793217;0,0028747;6,46;3,23;6,46;6,46;0;0
16,2;19,3793863;0,0026163;6,46;3,23;6,46;6,46;0;0
16,3;19,3794509;0,0023902;6,46;3,23;6,46;6,46;0;0
16,4;19,3794832;0,0021964;6,46;3,23;6,46;6,46;0;0
16,5;19,3795478;0,0020026;6,46;3,23;6,46;6,46;0;0
16,6;19,3795801;0,0018088;6,46;3,23;6,46;6,46;0;0
16,7;19,3796124;0,0016473;6,46;3,23;6,46;6,46;0;0
16,8;19,3796447;0,0015181;6,46;3,23;6,46;6,46;0;0
16,9;19,379677;0,0013889;6,46;3,23;6,46;6,46;0;0
17;19,3797093;0,0012597;6,46;3,23;6,46;6,46;0;0
17,1;19,3740245;13,1473597;6,46;6,46;3,23;3,23;0;107,7641373
17,2;19,379354;0,6593076;6,46;6,46;3,23;3,23;0;113,3421858
17,3;19,3794832;0,4417671;6,46;6,46;3,23;3,23;0;118,0046262
17,4;19,3795478;0,3659913;6,46;6,46;3,23;3,23;0;121,7757158
17,5;19,3795801;0,3247119;6,46;6,46;3,23;3,23;0;124,8500621
17,6;19,3796124;0,2948344;6,46;6,46;3,23;3,23;0;126,9888712
17,7;19,379677;0,0128877;6,46;6,46;3,23;3,23;0;128,0982793
17,8;19,3798062;0,0003876;6,46;6,46;3,23;3,23;0;129,2
17,9;19,3798062;0,0003553;6,46;6,46;3,23;3,23;0;129,2
18;19,3798385;0,000323;6,46;6,46;3,23;3,23;0;129,2
18,1;19,3798385;0,0002907;6,46;6,46;3,23;3,23;0;129,2
18,2;19,3798708;0,0002584;6,46;6,46;3,23;3,23;0;129,2
18,3;19,3798708;0,0002584;6,46;6,46;3,23;3,23;0;129,2
18,4;19,3798708;0,0002261;6,46;6,46;3,23;3,23;0;129,2
18,5;19,3799031;0,0001938;6,46;6,46;3,23;3,23;0;129,2
18,6;19,3799031;0,0001938;6,46;6,46;3,23;3,23;0;129,2
18,7;19,3799031;0,0001615;6,46;6,46;3,23;3,23;0;129,2
18,8;19,3799031;0,0001615;6,46;6,46;3,23;3,23;0;129,2
18,9;19,3799354;0,0001292;6,46;6,46;3,23;3,23;0;129,2
19;19,3799354;0,0001292;6,46;6,46;3,23;3,23;0;129,2
19,1;10,6319972;881,5053401;3,23;3,23;3,23;6,46;34,7787666;128,1022522
19,2;14,9030908;634,7345029;3,23;3,23;3,23;6,46;192,6072902;53,32407
19,3;18,0060226;337,8787366;3,23;3,23;3,23;6,46;276,8769243;12,1252908
19,4;19,3605554;23,621959;3,23;3,23;3,23;6,46;285,7503157;3,4611388
19,5;19,3775452;7,4374949;3,23;3,23;3,23;6,46;288,3272097;1,6535662
19,6;19,378062;0,0158593;3,23;3,23;3,23;6,46;290,681589;0
19,7;19,3782235;0,0144704;3,23;3,23;3,23;6,46;290,7;0
19,8;19,378385;0,0132107;3,23;3,23;3,23;6,46;290,7;0
19,9;19,3785142;0,0120479;3,23;3,23;3,23;6,46;290,7;0
20;19,3786434;0,0110143;3,23;3,23;3,23;6,46;290,7;0
20,1;19,3787726;0,0100453;3,23;3,23;3,23;6,46;290,7;0
20,2;19,3788695;0,0091732;3,23;3,23;3,23;6,46;290,7;0
20,3;19,3789664;0,0083657;3,23;3,23;3,23;6,46;290,7;0
20,4;19,3790633;0,0076551;3,23;3,23;3,23;6,46;290,7;0
20,5;19,3791602;0,0069768;3,23;3,23;3,23;6,46;290,7;0
20,6;19,3792248;0,0063631;3,23;3,23;3,23;6,46;290,7;0
20,7;19,3792894;0,005814;3,23;3,23;3,23;6,46;290,7;0
20,8;19,3747351;10,9117475;6,46;3,23;3,23;6,46;290,5261937;0
20,9;19,304418;82,0202621;6,46;3,23;3,23;6,46;257,1777357;0
21;19,2679513;118,0218744;6,46;3,23;3,23;6,46;201,4692797;0
21,1;19,267596;118,1344722;6,46;3,23;3,23;6,46;145,365827;0
21,2;19,2674991;118,1345368;6,46;3,23;3,23;6,46;89,1058485;0
21,3;19,2673699;118,1337939;6,46;3,23;3,23;6,46;45,7815032;0
21,4;19,3382684;48,8801068;6,46;3,23;3,23;6,46;20,3813646;0
21,5;19,373863;12,3254539;6,46;3,23;3,23;6,46;13,2459716;0
21,6;19,3747674;9,9305381;6,46;3,23;3,23;6,46;8,340829;0
21,7;19,3753488;8,8465178;6,46;3,23;3,23;6,46;4,6715167;0
21,8;19,3779651;5,6396123;6,46;3,23;3,23;6,46;2,3278287;0
21,9;19,3789664;0,0218025;6,46;3,23;3,23;6,46;0;0
22;19,3792571;0,0033592;6,46;3,23;3,23;6,46;0;0
22,1;19,3793217;0,0030685;6,46;3,23;3,23;6,46;0;0
22,2;19,3793863;0,0027778;6,46;3,23;3,23;6,46;0;0
22,3;19,3794509;0,0025517;6,46;3,23;3,23;6,46;0;0
22,4;19,3794832;0,0023256;6,46;3,23;3,23;6,46;0;0
22,5;19,3795478;0,0021318;6,46;3,23;3,23;6,46;0;0
22,6;19,3795801;0,001938;6,46;3,23;3,23;6,46;0;0
22,7;19,3796124;0,0017765;6,46;3,23;3,23;6,46;0;0
22,8;19,3796447;0,001615;6,46;3,23;3,23;6,46;0;0
22,9;19,379677;0,0014858;6,46;3,23;3,23;6,46;0;0
23;19,3797093;0,0013566;6,46;3,23;3,23;6,46;0;0
23,1;19,3797416;0,000969;6,46;6,46;6,46;6,46;0;0
23,2;19,3797416;0,0003553;6,46;6,46;6,46;6,46;0;0
23,3;19,3797739;0,000323;6,46;6,46;6,46;6,46;0;0
23,4;19,3798062;0,0002907;6,46;6,46;6,46;6,46;0;0
23,5;19,3798062;0,0002584;6,46;6,46;6,46;6,46;0;0
23,6;19,3798385;0,0002261;6,46;6,46;6,46;6,46;0;0
23,7;19,3798385;0,0002261;6,46;6,46;6,46;6,46;0;0
23,8;19,3798708;0,0001938;6,46;6,46;6,46;6,46;0;0
23,9;19,3798708;0,0001938;6,46;6,46;6,46;6,46;0;0
24;19,3798708;0,0001615;6,46;6,46;6,46;6,46;0;0
24,1;19,3799031;0,0001615;6,46;6,46;6,46;6,46;0;0
24,2;19,3799031;0,0001292;6,46;6,46;6,46;6,46;0;0
24,3;19,3799031;0,0001292;6,46;6,46;6,46;6,46;0;0
24,4;19,3799031;0,0001292;6,46;6,46;6,46;6,46;0;0
24,5;19,3799354;0,0000969;6,46;6,46;6,46;6,46;0;0
24,6;19,3799354;0,0000969;6,46;6,46;6,46;6,46;0;0
24,7;19,3799354;0,0000969;6,46;6,46;6,46;6,46;0;0
24,8;19,3799354;0,0000646;6,46;6,46;6,46;6,46;0;0
24,9;19,3799354;0,0000646;6,46;6,46;6,46;6,46;0;0
25;19,3799677;0,0000646;6,46;6,46;6,46;6,46;0;0
25,1;19,3799677;0,0000646;6,46;6,46;6,46;6,46;0;0
25,2;10,6279274;889,5704886;3,23;3,23;3,23;3,23;70,2019828;67,0247287
25,3;15,2941146;601,2792934;3,23;3,23;3,23;3,23;267,1007479;108,0143331
25,4;18,2543127;307,0296849;3,23;3,23;3,23;3,23;277,8547745;113,2144716
25,5;19,3660464;20,1904393;3,23;3,23;3,23;3,23;284,5657778;117,6838872
25,6;19,3775775;6,7647828;3,23;3,23;3,23;3,23;287,6451952;121,5104036
25,7;19,3778682;0,3452224;3,23;3,23;3,23;3,23;290,7;124,6100085
25,8;19,3780297;0,3128578;3,23;3,23;3,23;3,23;290,7;126,795911
25,9;19,3783204;0,0166022;3,23;3,23;3,23;3,23;290,7;128,0021868
26;19,3784819;0,0128231;3,23;3,23;3,23;3,23;290,7;129,2
26,1;19,3786111;0,0116926;3,23;3,23;3,23;3,23;290,7;129,2
26,2;19,3787403;0,0106913;3,23;3,23;3,23;3,23;290,7;129,2
26,3;19,3788372;0,0097546;3,23;3,23;3,23;3,23;290,7;129,2
26,4;19,3789341;0,0089148;3,23;3,23;3,23;3,23;290,7;129,2
26,5;19,379031;0,0081396;3,23;3,23;3,23;3,23;290,7;129,2
26,6;19,3791279;0,007429;3,23;3,23;3,23;3,23;290,7;129,2
26,7;19,3791925;0,006783;3,23;3,23;3,23;3,23;290,7;129,2
26,8;19,3792571;0,0062016;3,23;3,23;3,23;3,23;290,7;129,2
26,9;19,3793217;0,0056525;3,23;3,23;3,23;3,23;290,7;129,2
27;19,3793863;0,005168;3,23;3,23;3,23;3,23;290,7;129,2
27,1;19,3533848;56,8002929;6,46;3,23;3,23;6,46;290,7;106,4642561
27,2;19,3329712;95,1594499;6,46;3,23;3,23;6,46;267,6418698;17,5173559
27,3;19,2632032;116,8521299;6,46;3,23;3,23;6,46;224,9380398;8,1525523
27,4;19,2636554;120,2307422;6,46;3,23;3,23;6,46;168,7326483;2,8127486
27,5;19,2662071;118,8465903;6,46;3,23;3,23;6,46;112,4730897;1,4052438
27,6;19,2674345;118,1341169;6,46;3,23;3,23;6,46;56,2131112;0
27,7;19,3464726;55,3488924;6,46;3,23;3,23;6,46;31,2120714;0
27,8;19,3730878;13,5526601;6,46;3,23;3,23;6,46;16,0460586;0
27,9;19,3744767;10,9358756;6,46;3,23;3,23;6,46;10,1630012;0
28;19,375155;9,276237;6,46;3,23;3,23;6,46;5,6730751;0
28,1;19,3756072;8,248128;6,46;3,23;3,23;6,46;2,6862618;0
28,2;19,3791925;2,7966632;6,46;3,23;3,23;6,46;1,3421619;0
28,3;19,3792571;0,0034238;6,46;3,23;3,23;6,46;0;0
28,4;19,3793217;0,0031331;6,46;3,23;3,23;6,46;0;0
28,5;19,3793863;0,0028424;6,46;3,23;3,23;6,46;0;0
28,6;19,3794186;0,0026163;6,46;3,23;3,23;6,46;0;0
28,7;19,3794832;0,0023902;6,46;3,23;3,23;6,46;0;0
28,8;19,3795155;0,0021641;6,46;3,23;3,23;6,46;0;0
28,9;19,3795801;0,0019703;6,46;3,23;3,23;6,46;0;0
29;19,3796124;0,0018088;6,46;3,23;3,23;6,46;0;0
29,1;19,3796447;0,0016473;6,46;3,23;3,23;6,46;0;0
29,2;19,379677;0,0015181;6,46;3,23;3,23;6,46;0;0
29,3;19,3797093;0,0013889;6,46;3,23;3,23;6,46;0;0
29,4;19,3797416;0,0004845;6,46;6,46;3,23;6,46;0;0
29,5;19,3797416;0,0004199;6,46;6,46;3,23;6,46;0;0
29,6;19,3797739;0,0003876;6,46;6,46;3,23;6,46;0;0
29,7;19,3798062;0,0003553;6,46;6,46;3,23;6,46;0;0
29,8;19,3798062;0,000323;6,46;6,46;3,23;6,46;0;0
29,9;19,3798385;0,0002907;6,46;6,46;3,23;6,46;0;0
30;19,3798385;0,0002584;6,46;6,46;3,23;6,46;0;0
30,1;19,3798708;0,0002584;6,46;6,46;3,23;6,46;0;0
30,2;19,3798708;0,0002261;6,46;6,46;3,23;6,46;0;0
30,3;19,3798708;0,0001938;6,46;6,46;3,23;6,46;0;0
30,4;19,3799031;0,0001938;6,46;6,46;3,23;6,46;0;0
30,5;19,3799031;0,0001615;6,46;6,46;3,23;6,46;0;0
30,6;19,3799031;0,0001615;6,46;6,46;3,23;6,46;0;0
30,7;19,3799031;0,0001292;6,46;6,46;3,23;6,46;0;0
30,8;19,3799354;0,0001292;6,46;6,46;3,23;6,46;0;0
30,9;19,3799354;0,0001292;6,46;6,46;3,23;6,46;0;0
31;19,3799354;0,0000969;6,46;6,46;3,23;6,46;0;0
31,1;19,3799354;0,0000969;6,46;6,46;3,23;6,46;0;0
31,2;19,3799354;0,0000969;6,46;6,46;3,23;6,46;0;0
31,3;19,3799354;0,0000969;6,46;6,46;3,23;6,46;0;0
31,4;19,3799677;0,0000646;6,46;6,46;3,23;6,46;0;0
31,5;19,3799677;0,0000646;6,46;6,46;3,23;6,46;0;0
31,6;19,3799677;0,0000646;6,46;6,46;3,23;6,46;0;0
31,7;14,1249192;250,1697985;3,23;3,23;6,46;6,46;172,2679802;0
31,8;17,0554013;517,6137985;3,23;3,23;6,46;6,46;243,8215242;0
31,9;18,6152006;186,7430637;3,23;3,23;6,46;6,46;280,7380017;0
32;19,3704069;13,4190673;3,23;3,23;6,46;6,46;288,5555707;0
32,1;19,3776421;0,1219648;3,23;3,23;6,46;6,46;289,719372;0
32,2;19,3781912;0,0141474;3,23;3,23;6,46;6,46;290,692248;0
32,3;19,3783527;0,01292;3,23;3,23;6,46;6,46;290,7;0
32,4;19,3785142;0,0117895;3,23;3,23;6,46;6,46;290,7;0
32,5;19,3786434;0,0107559;3,23;3,23;6,46;6,46;290,7;0
32,6;19,3787403;0,0098192;3,23;3,23;6,46;6,46;290,7;0
32,7;19,3788695;0,0089794;3,23;3,23;6,46;6,46;290,7;0
32,8;19,3789664;0,0082042;3,23;3,23;6,46;6,46;290,7;0
32,9;19,3790633;0,0074936;3,23;3,23;6,46;6,46;290,7;0
33;19,3791279;0,0068476;3,23;3,23;6,46;6,46;290,7;0
33,1;19,3792248;0,0062339;3,23;3,23;6,46;6,46;290,7;0
33,2;19,3792894;0,0056848;3,23;3,23;6,46;6,46;290,7;0
33,3;19,379354;0,0052003;3,23;3,23;6,46;6,46;290,7;0
33,4;19,3793863;0,0047481;3,23;3,23;6,46;6,46;290,7;0
33,5;19,3794509;0,0043282;3,23;3,23;6,46;6,46;290,7;0
33,6;18,2857083;361,2754354;3,23;3,23;3,23;3,23;290,7;0,0229976
33,7;18,7674305;213,203902;6,46;3,23;3,23;3,23;284,6549904;108,9093338
33,8;19,2946311;102,4302445;6,46;3,23;3,23;3,23;243,2234574;114,77482
33,9;19,2671115;118,4827308;6,46;3,23;3,23;3,23;188,4089362;119,1304427
34;19,2669823;118,4832799;6,46;3,23;3,23;3,23;132,1541257;122,4818584
34,1;19,2669177;118,4451982;6,46;3,23;3,23;3,23;78,3854462;125,5669283
34,2;19,3632686;35,6518356;6,46;3,23;3,23;3,23;27,3536103;128,3843604
34,3;19,3706007;19,5432442;6,46;3,23;3,23;3,23;18,8719533;128,8302296
34,4;19,3741537;11,6508361;6,46;3,23;3,23;3,23;12,1874683;129,1992894
34,5;19,3749612;9,5997215;6,46;3,23;3,23;3,23;7,0778344;129,2
34,6;19,375478;8,6206762;6,46;3,23;3,23;3,23;2,9263477;129,2
34,7;19,3791279;5,5089588;6,46;3,23;3,23;3,23;0,7370537;129,2
34,8;19,3792571;0,0494513;6,46;3,23;3,23;3,23;0,4912184;129,2
34,9;19,3793217;0,0032946;6,46;3,23;3,23;3,23;0,2454154;129,2
35;19,3793863;0,0030039;6,46;3,23;3,23;3,23;0;129,2
35,1;19,3794186;0,0027455;6,46;3,23;3,23;3,23;0;129,2
35,2;19,3794832;0,0025194;6,46;3,23;3,23;3,23;0;129,2
35,3;19,3795155;0,0022933;6,46;3,23;3,23;3,23;0;129,2
35,4;19,3795478;0,0020995;6,46;3,23;3,23;3,23;0;129,2
35,5;19,3796124;0,0019057;6,46;3,23;3,23;3,23;0;129,2
35,6;19,3796447;0,0017442;6,46;3,23;3,23;3,23;0;129,2
35,7;19,379677;0,0015827;6,46;3,23;3,23;3,23;0;129,2
35,8;19,3533525;56,2225751;6,46;6,46;3,23;6,46;0;54,7943983
35,9;19,3781266;4,3417014;6,46;6,46;3,23;6,46;0;23,793472
36;19,3786111;2,5225977;6,46;6,46;3,23;6,46;0;7,8329438
